Product Name,Price (Ksh),Discount (%),Total Reviews
120W Cordless Vacuum Cleaners Handheld Electric Vacuum Cleaner,KSh 854,No discount,No reviews
"VON VAMS-20MGX - Manual Microwave Oven, Solo - 20L-Black(1YR WRTY)","KSh 7,280",No discount,No reviews
"Ramtons RF/335 - 85L Single Door Refrigerator – Silver, (1YR WRTY)","KSh 17,736",No discount,No reviews
"VON VHB122MQYG Quartz Heater, 1200W - Dark Grey (1YR WRTY)","KSh 1,709",No discount,No reviews
Rashnik Electric Water Dispenser Pump,KSh 407,No discount,No reviews
AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet (1YR WRTY),"KSh 3,399",No discount,No reviews
Nunix SR5L – 5 Layer Shoe Rack – Pink,KSh 600,No discount,No reviews
Solarmax 100 WATTS SOLAR AFRICA FULLKIT WITH 10M DROPPING CABLE,"KSh 15,399",No discount,No reviews
HOMMY Maroon Portable Wardrobe 3 Column - Maroon Cover,"KSh 2,590",No discount,No reviews
Rashnik Electric Water Dispenser Pump,KSh 407,No discount,No reviews
Solar Light Solar LED Wall Light Motion Sensor Street Yard Outdoor Security Lamp Fake Camera,KSh 800,No discount,No reviews
Rashnik 3 Layer Over The Toilet Rack Organizer – White 58002,"KSh 1,800",No discount,No reviews
Nunix Nunix 2 Layer Stainless Steel Dishrack DR2S,KSh 960,No discount,No reviews
Sundabest 6pc beer Glass Cups. (5112),KSh 955,No discount,No reviews
STY Women Black And White Matching Handbags Ladies Casual Shoulder Bag Commuter Bag,KSh 454,No discount,No reviews
Berrykey Men's Spring Casual Slim Fit Floral Long Sleeve T Shirts Sweatshirts-Blue,KSh 619,No discount,No reviews
Wireless Mouse,KSh 365,No discount,No reviews
TWS Bluetooth Earphones Sports Wireless Headphones With Mic,KSh 407,No discount,No reviews
Fashion Sneakers For Women Running Shoes Slip On Casual Shoes Non Slip Sneaker,KSh 281 - KSh 399,No discount,No reviews
Globalstar Juice Blender Juicer 2 In 1 1.6Litres GS-TY618A  - Black/white,"KSh 1,691",No discount,No reviews
"Fashion Anti Blue Rays,Anti Blue Light Blocking Glasses Anti Blue Light Protective Computer Glasses",KSh 572,No discount,No reviews
PORTABLE Shoe Rack For 10 Pairs 5 Layer - Black,KSh 537,No discount,No reviews
ALagzi 2024 Men's New Fashion Sports Board Shoes - Black,"KSh 1,356 - KSh 1,490",No discount,No reviews
Fashion Men's 2 In 1 Short Sleeve T-Shirt & Shorts Set- Red,KSh 595 - KSh 850,No discount,No reviews
Fashion Mens Trench Coats Casual Lightweight Trendy Jackets - Green,"KSh 999 - KSh 1,100",No discount,No reviews
Berrykey Men's Sweatshirt Casual Polos Sport Long Sleeve Shirt,KSh 630,No discount,No reviews
Berrykey Men's Spring Casual Slim Fit Floral Long Sleeve T Shirts Sweatshirts-Coffee,KSh 683 - KSh 750,No discount,No reviews
Yixin 【4 Pieces 】 Men's Shirt Short Sleeve Printed T-shirt Fashion Half Sleeve 1105,"KSh 1,399",No discount,No reviews
C Idea Tablet Tablet With SIM 6GB RAM 128GB ROM  Android 12 600*1024 6000mAh Battery Purple,"KSh 6,427",No discount,No reviews
3PCS Oxford Cloth Lunch Bags,KSh 768,No discount,No reviews
4 In 1 USB Rechargeable Torches Car Hammer Flashlight,KSh 514,No discount,No reviews
Fashion Ring Silver Plated Heart Moon Design Inlaid Opal Ring For Women & Men,KSh 252,No discount,No reviews
10PCS Stack Hanger Rack Hook Wardrobe Space-saving Coat Hook Organizer,KSh 199,No discount,No reviews
Matte Lip Glaze Liquid Lipstick Mini Tube Lip Gloss Waterproof Non Stick Cup Lip,KSh 601,No discount,No reviews
Fashion Front Zip Long Sleeve Bodysuit Sexy Ribbed Tops For Ladies - Beige,KSh 700,No discount,No reviews
Fashion Long-sleeved Slim Fit Wool Knitwear Mens Sweaters/cardigan,"KSh 1,539 - KSh 1,699",No discount,No reviews
Fashion Mens Sneaker Causal Breathable Shoes Light Weight Walking Shoes,"KSh 1,190",No discount,No reviews
Fashion Hard Khaki Trouser Pants -Brown,"KSh 960 - KSh 1,049",No discount,No reviews
Fashion 4PCs Most Beautiful Printed Seamless Panties(Hips 38-44inches),KSh 738,No discount,No reviews
Fashion Ladies Sneaker Shoes Causal Shoes Buy A Size Larger Than Usual White,"KSh 1,500",No discount,No reviews
Fashion Slipon Shoes Loafers Shoes Canvas Shoes Casual Shoes Mens Sneaker Black,"KSh 799 - KSh 1,500",No discount,No reviews
Fashion Ladies' Fleece Round Neck Crop Top - Green,KSh 819,No discount,No reviews
Fashion Retro Bohemian Vintage Stud Earrings With Zircoins 5 Pairs/set,KSh 229,No discount,No reviews
Fashion Large Capacity Backpack School Bags For Travel Men's Outdoor Business Backpack Multi-layer Laptop Backpacks,"KSh 1,200",No discount,No reviews
Fashion Wide Band Satin Hair Bonnet Sleeping Cap Hair Bonnet Satin Bonnet Silk Hair Cap,KSh 299,No discount,No reviews
Fashion Men Bags PU Chest Bags with USB Crossbody Bags Shoulder Bags Sling Satchel Messenger Bags,KSh 550,No discount,No reviews
"Fashion 2Pack, Soft Khaki Men's Trouser Slim Fit Official Casual- Grey&Chocolate","KSh 2,239 - KSh 2,519",No discount,No reviews
Fashion 5 Pack Soft Khaki For Men-Multicolour,"KSh 5,249 - KSh 5,879",No discount,No reviews
Fashion Women Lace Sexy Floral Panties Ladies Comfortable Underpants Female Lingerie,KSh 859,No discount,No reviews
Fashion Ladies' Fleece Round Neck Crop Top - Grey,KSh 819,No discount,No reviews
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,095",No discount,No reviews
Maybelline Fit Me Mattifying Primer Matte And Poreless,"KSh 1,033",No discount,No reviews
"NIVEA His & Hers Deo Pack - Deep Roll-On - 50ml, Pearl & Beauty Roll-On - 50ml",KSh 780,No discount,No reviews
David Beckham MENS CLASSIC EDT 100ML,"KSh 3,220",No discount,No reviews
UNCOVER Aloe Invisible Sunscreen,"KSh 2,699",No discount,No reviews
Mosara Deep Treatment Masque - 250G,KSh 990,No discount,No reviews
Adopt Cœur A Cœur EDP 30ml,"KSh 1,800",No discount,No reviews
St Ives Soft Skin Honey And Avocado Face Scrub 170g,"KSh 1,095",No discount,No reviews
Some By Mi [Made In Korea] AHA BHA PHA 30 Days Miracle Toner,"KSh 2,600",No discount,No reviews
Vaseline Dry Skin Repair Void 400ml,KSh 570,No discount,No reviews
"Aris Technique Eau de Parfum Spray, EDP Intense Men's Perfumes,Cologne for Men.","KSh 1,279",No discount,No reviews
Revlon So Fierce Mascara,"KSh 2,862",No discount,No reviews
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -150ml,KSh 942,No discount,No reviews
SKIN1004 Madagascar Centella Asiatica Ampoule 55ml,"KSh 2,950",No discount,No reviews
NIVEA MEN Revitalising Body Lotion For Men - 400ml,KSh 670,No discount,No reviews
"Vitron 32"" Inch Bluetooth TV,Smart Android Tv,USB/HDMI,Frameless, Netflix + FREE GIFTS","KSh 13,299",No discount,No reviews
